"ID","Kalimat","Kelas"
"35","(Jabar III)15420 .","Statement"
"36","H. INDRA P. SIMATUPANG, S. E. , M. B. A. (Jabar V)157 .","Other"
"37","i4NOURUT NAMANOMOR i ANGGOTA|21 .","Other"
"38","SUKUR H NABABAN, S. T. (Jabar VI) 15822 .","Other"
"39","RIEKE DIAH PITALOKA(Jabar VII) 16023 .","Statement"
"40","DANIEL LUMBAN TOBING(Jabar VII) 16124 .","Statement"
"41","Dr. TB .","Statement"
"42","HASANUDDIN, M. M. (Jabar IX) 16525 .","Statement"
"43","PUTI GUNTUR SOEKARNO(Jabar X) 16626 .","Statement"
"44","DONY MARYADI OEKON, S. T. (Jabar XI)16727 .","Statement"
"45","H. IMAM SUROSO, S. Sos .","Other"
"46",", S. H. , M. M. (Jatenq III) 17228 .","Statement"
"47","RAHMAD HANDOYO, S. Pi .","Other"
"48",", M. M. (Jateng V)17729 .","Other"
"49","Drs. UTUT ADIANTO(Jateng VII)18030 .","Other"
"50","Ir. MUHAMMAD PRAKOSA(Jateng IX)18331 .","Statement"
"51","DAMAYANTI WISNU PUTRANTI(Jateng IX)18432 .","Statement"
"52","Prof. Dr. HENDRAWAN SUPRATIKNO(Jateng X)18533 .","Other"
"53","MY ESTI WIJAYATI(DIY)18734 .","Statement"
"54","INDAH KURNIA(Jatim 1)18935 .","Statement"
"55","HENKY KURNIADI(Jatim 1)19036 .","Statement"
"56","ARIF WIBOWO(Jatim IV)19337 .","Other"
"57","Drs. AHMAD BASARAH, M. H. (Jatim V)19438 .","Other"
"58","Ir. ANDREAS EDDY SUSETYO, M. M. (Jatim V)19539 .","Other"
"59","Dr. Ir. H. PRAMONO ANUNG WIBOWO, M. M. (Jatim VI)19640 .","Other"
"60","ARTERIA DAHLAN, S. T. , S. H. (Jatim VI)19741 .","Other"
"61","SAD AR ESTU WATl(Jatim VIII)20142 .","Other"
"62","ABIDIN FIKRI, S. H. (Jatim IX)20243 .","Other"
"63","ICHSAN SOELISTIO(Banten II)2065NOURUTNAMA NOMORANGGOTA44 .","Other"
"64","1 GUSTI AGUNG RAI WIJAYA, S. E. , M. M. (Bali) 21145 .","Other"
"65","HERMAN HERRY(NTT II) 21546 .","Statement"
"66","dr. KAROLIN MARGARET NAT ASA(Kalbar)21647 .","Statement"
"67","LASARUS, S. Sos .","Other"
"68",", M. Si .","Other"
"69","(Kalbar)21748 .","Other"
"70","Ir. G. MICHAEL JENO, M. M. (Kalbar)21849 .","Other"
"71","ASDY NARANG, S. H. , M. Comm .","Other"
"72","LAW(Kalteng)21950 .","Other"
"73","Dr. Ir. WILLY M. YOSEPH, M. M. (Kalteng)22051 .","Other"
"74","VANDA SARUNDAJANG(Sulut)22452 .","Other"
"75","Ir. RENDY M. AFFANDY LAMADJIDO(Sulteng)22553 .","Opinion"
"76","Drs. SAMSU NIANG, M. Pd .","Other"
"77","(Sulsel II)22754 .","Statement"
"78","KOMARUDIN WATUBUN, S. H. , M. H. 1 (Papua)230Jumlah kehadiran dari Fraksi Partai Demokrasi Indonesia Perjuangan 54 dari 109 orang Anggota2 .","Other"
"79","FRAKSI PARTAI GOLONGAN KARYANOURUTNAMANOMORANGGOTA1 .","Other"
"80","H. FIRMANDEZ234(Aceh II)2 .","Statement"
"81","RAMBE KAMARUL ZAMAN M. Sc, M. M. (Sumut II)2363 .","Other"
"82","TABRANI MAAMUN(Riau I)2414 .","Statement"
"83","Drs. H. KAHAR MUZAKIR(Sumsel I)2455 .","Statement"
"84","Dr. M. AZIS SYAMSUDDIN(Lampung II)2486 .","Other"
"85","Ir. H. AZHAR ROMLI, M. Si .","Statement"
"86","(Bangka Belitung)2497 .","Other"
"87","BAMBANG WIYOGO, S. E. (DKI Jakarta I)2508 .","Statement"
"88","TANTOWI YAHYA(DKI Jakarta III)2526NOURUTNAMA NOMORANGGOTA9 .","Other"
"89","Dra. POPONG OTJE DJUNDJUNAN(Jabar I) 25310 .","Other"
"90","Dr. H. DEDING ISHAK, S. H. , M. M. (Jabar III) 25611 .","Other"
"91","EKA SASTRA(Jabar III) 25712 .","Other"
"92","Ir. H. AIRLANGGA HARTARTO, M. M. T. , M. B. A. (Jabar V) 25913 .","Other"
"93","Dra. WENNY HARYANTO, S. H. (Jabar VI)26114 .","Other"
"94","Dr. H. ADE KOMARUDIN, M. H. (Jabar VII)26215 .","Other"
"95","DAVE AKBARSHAH FIKARNO LAKSONO, M. E. (Jabar VIII)26416 .","Other"
"96","Drs. H. ELDIE SUWANDIE(Jabar IX)26617 .","Other"
"97","AGUN GUNANJAR SUDARSA, M. Si .","Other"
"98","(Jabar X)26718 .","Statement"
"99","H. FERDIANSYAH, S. E. , M. M. (Jabar XI)26819 .","Other"
"100","H. AHMAD ZACKY SIRADI(Jabar XI)26920 .","Other"
"101","BOWO SIDIK PANGARSO, S. E. (Jateng II)27221 .","Other"
"102","ENDANG SRIKARTI HAN DAYAN I, S. H. , M. Hum (Jateng V)27522 .","Other"
"103","BAMBANG SOESATYO, S. E. , M. B. A. (Jateng VII)27723 .","Other"
"104","H. DITO GANINDUTO, M. B. A. (Jateng VIII)27824 .","Other"
"105","Ir. H. ADIES KADIR, S. H. , M. Hum .","Other"
"106","(Jatim 1)28225 .","Other"
"107","H. MUKHAMAD MISBAKHUN, S. E. (Jatim II)28326 .","Other"
"108","H. MUHAMAD NUR PURNAMASIDI(Jatim IV)28527 .","Other"
"109","Ir. H. M. RIDWAN HISJAM(Jatim V)28628 .","Other"
"110","M. SARMUJI S. E. , M. Si .","Other"
"111","(Jatim VI)28729 .","Other"
"112","H. MOHAMMAD SURYO ALAM, Ak. , M. B. A. (Jatim VIII)28930 .","Other"
"113","Ir. H. S. W. YUDHA, M. Sc .","Other"
"114","(Jatim IX)29031 .","Other"
"115","ENI MAULANI SARAGIH(Jatim X)2917NOURUTNAMA NOMORANGGOTA32 .","Other"
"116","H. ZAINUDIN AMALI(Jatim XI) 29233 .","Other"
"117","H. ANDIKA HAZRUMY, S. Sos .","Other"
"118","(Banten 1) 29334 .","Other"
"119","YAYAT YULMARYATMO BIARO(Banteng II) 29435 .","Other"
"120","H. ANDI ACHMAD DARA, S. E. (Banten III) 29536 .","Other"
"121","H. MUHAMMAD LUTFI, S. E. (NTB) 29837 .","Other"
"122","MELCHIAS MARKUS MEKENG(NTT 1)29938 .","Other"
"123","dr. CHARLES JONES MESANG(NTT II)30139 .","Other"
"124","Ir. H. AHMADI NOOR SUPIT(Kalsel 1)30440 .","Other"
"125","H. HASNURYADI SULAIMAN(Kalsel II)30641 .","Other"
"126","Dr. Hj. NENI MOERNIAENI, Sp .","Other"
"127","OG(Kaltim)30842 .","Other"
"128","ADITYA ANUGRAH MOHA, S. Ked .","Statement"
"129","(Sulut)30943 .","Other"
"130","H. MUHIDIN MOHAMAD SAID(Sulteng)31044 .","Statement"
"131","H. SYAMSUL BACHRI .","Other"
"132","M. Sc .","Other"
"133","(Sulsel II)31245 .","Other"
"134","H. ANDI RIO IDRIS PADJALANGI, S. H. , M. Kn .","Statement"
"135","(Sulsel II)31346 .","Other"
"136","drg. Hj. ANDI FAUZIAH PUJIWATIE HATTA, S. K. G. (Sulsel III)31547 .","Other"
"137","Dr. Ir. FADEL MUHAMMAD(Gorontalo)31748 .","Other"
"138","Drs. H. ROEM KONO(Gorontalo)31849 .","Other"
"139","Pdt .","Other"
"140","ELION NUMBERI, S. Th. (Papua)j322Jumlah kehadiran dari Fraksi Partai GOLKAR 49 dari 91 orang Anggota3 .","Other"
"141","FRAKSI PARTAI GERINDRANOURUTNAMA NOMOR ANGGOTA j1 .","Other"
"142","FADHLULLAH(Aceh 1)3242 .","Other"
"143","KHAIDIR(Aceh II)3258NOURUTNAMA NOMORANGGOTA3 .","Other"
"144","H. GUS IRAWAN PASARIBU, S. E. Ak. , M. M. (Sumut II)3274 .","Other"
"145","SUASANA DACHI, S. H. (Sumut II)3285 .","Other"
"146","Dr. H. SUIR SYAM, M. Kes .","Other"
"147",", M. M. R. (Sumbar 1) 3306 .","Other"
"148","RITA ZAHARA, S. H. (Riau 1)3327 .","Other"
"149","Ir. H. A. R. SUTAN ADIL HENDRA, M. M. (Jambi)3348 .","Other"
"150","Ir. SRI MELIYANA(Sumsel II)3369 .","Other"
"151","Ir. DWITA RIA(Lampung II)33910 .","Other"
"152","ASRIL HAMZAH TANJUNG, S. I. P. (OKI Jakarta 1)34011 .","Other"
"153","ARYO P. S. DJOJOHADIKUSUMO(DKI Jakarta III)34212 .","Other"
"154","Dr. Ir. H. D. SODIK MUDJAHID, M. Sc .","Other"
"155","(Jabar 1)34313 .","Other"
"156","Ir, H. AHMAD RIZA PATRIA, M. B. A. (Jabar III)34514 .","Other"
"157","FADL1 ZON, S. S. , M. Sc .","Other"
"158","(Jabar V)34715 .","Other"
"159","Dr. Ir. H. KARDAYA WAR NIKA, D. E. A. (Jabar VIII)35016 .","Other"
"160","JAMAL MIRDAD(Jatenq 1)35317 .","Other"
"161","RAHAYU SARASWATI DJOJOHADIKUSUMO(Jatenq IV)35618 .","Other"
"162","H. BAMBANG RIYANTO, S. H. , M. H. , M. Si .","Other"
"163","(Jatenq V)35719 .","Other"
"164","Ir. H. HARRY POERNOMO(Jatenq VI)35820 .","Other"
"165","Hj. NOVITA WIJAYANTI, S. E. , M. M. (Jatenq VIII)36021 .","Other"
"166","RAMSON SIAGIAN(Jatenq X)36222 .","Other"
"167","ANDIKA PANDU PURAGABAYA, S. Psi. , M. Si .","Other"
"168",", M. Sc .","Other"
"169","(DIYj 36323 .","Other"
"170","Ir. H. SOEPRIYATNO(Jatim II)36524 .","Other"
"171","Ir. SUMAIL ABDULLAHj (Jatim III)36625 .","Other"
"172","MORENO SUPRAPTO! (Jatim V)3689NOURUTNAMA NOMORANGGOTA26 .","Other"
"173","Ir. ENDRO HERMONO, M. B. A. (Jatim VI) 36927 .","Other"
"174","H. MOH NIZAR ZAHRO, S. H. (Jatim XI) 37428 .","Statement"
"175","H. ANDA, S. E. , M. M. (Banten 1) 37529 .","Other"
"176","IDA BAGUS PUTU SUKARTA, S. E. , M. Si .","Other"
"177","(Bali)37830 .","Other"
"178","H. WILLGO ZAINAR, S. E. , M. B. A. (NTB)37931 .","Other"
"179","PIUS LUSTRILANANG, S. I. P. , M. Si .","Other"
"180","(NTT 1)38032 .","Other"
"181","KATHERINE A. OENDOEN(Kalbar)38233 .","Other"
"182","H. IWAN KURNIAWAN, S. H. (Kalteng)38334 .","Other"
"183","Drs. H. SYAIFUL RASYID, M. M. (Kalsel 1)38435 .","Other"
"184","SUPRATMAN, S. H. , M. H. (Sulteng)38836 .","Other"
"185","Dr. H. AZIKIN SOLTHAN, M. Si .","Other"
"186","(Sulsel 1)38937 .","Other"
"187","H. ANDI IWAN DARMAWAN ARAS, S. E. (Sulsel II)39038 .","Other"
"188","HAERUL SALEH, S. H. (Sultra)39239 .","Other"
"189","Dra. Hj. RUSKATI ALI BAAL(Sulbar)39440 .","Other"
"190","AMRULLAH AMRI TUASIKAL, S. E. (Maluku)39541 .","Other"
"191","ROBERTH ROUW(Papua)396Jumlah kehadiran dari Fraksi Partai GERINDRA41 dari 73 orang Anggota4 .","Other"
"192","FRAKSI PARTAI DEMOKRATNOURUTNAMA NOMORANGGOTA1 .","Other"
"193","RUHUT SITOMPUL, S. H. (Sumut 1)3992 .","Other"
"194","ROOSLYNDA MARPAUNG(Sumut II)4003 .","Statement"
"195","H. RUDI HARTONO BANGUN, S. E. , M. A. P. (Sumut III)4014 .","Statement"
"196","HJ .","Other"
"197","MUKHNIARTY, S. E. , M. Si .","Other"
"198","(Riau 1)40410NOURUTNAMA NOMORANGGOTA5 .","Other"
"199","MUHAMMAD NASIR(Riau II) 4056 .","Other"
"200","Drs. H. ZULFIKAR ACHMAD(Jambi)4067 .","Other"
"201","H. ZULKIFLI ANWAR(Lampung 1)4098 .","Other"
"202","Ir. H. MARWAN CIK ASAN, M. M. ( LampungII)4109 .","Other"
"203","EKQ WIJAYA(Bangka Belitung)41110 .","Opinion"
"204","Hj. MELANIE LEIMENA SUHARLI(DK[ Jakarta 1]}41311 .","Other"
"205","DEDE YUSUF MACAN EFFENDI, S. T. , M. Si .","Other"
"206","(Jabar II)41512 .","Other"
"207","Dr. SJARIFUDDIN HASAN, S. E. , M. M. , M. B. A. (Jabar III)41613 .","Other"
"208","H. AMIN SANTONO, S. Sos .","Other"
"209","(Jabar X)42114 .","Other"
"210","SITI MUFATTAHAH, Psi. (Jabar XI)42215 .","Other"
"211","Dr. AGUS HERMANTO(Jateng 1) ' _ _  .","Statement"
"212","RINTO SUBEKTI, S. E. , M. M. (Jateng IV)42517 .","Other"
"213","KHATIBUL UMAM WIRANU, M. Hum .","Other"
"214","(Jateng VIII)42618 .","Other"
"215","Drs. AYUB KHAN(Jatim IV)43119 .","Other"
"216","Dr. Hj. NURHAYATI ALI ASSEGAF, M. Si .","Other"
"217","(Jatim V)43220 .","Other"
"218","VENNA MELINDA, S. E. (Jatim VI)43321 .","Other"
"219","EDHIE BASKORO YUDHOYONO, M. Sc .","Other"
"220","(Jatim VII)43422 .","Other"
"221","DIDIK MUKRIANTO, S. H. (JatimIX)43723 .","Other"
"222","H. MAT NASIR, S. Sos .","Other"
"223","(Jatim XI)43824 .","Other"
"224","1 PUTU SUDIARTANA(Bali)44225 .","Other"
"225","H. M. SYAMSUL LUTHFI(NTB)44326 .","Other"
"226","Dr. BENNY K. HARMAN, S. H. (NTT 1)44427 .","Statement"
"227","EVERT ERENST MANGINDAAN, S. IP .","Other"
"228","(Sulut)44812NOURUT NAMANOMORANGGOTA14 .","Other"
"229","ir .","Other"
"230","H. TEGUH JUWARNO, M. Si .","Opinion"
"231","(Jateng IX) 48415 .","Other"
"232","ANDRIYANTO JOHAN SYAH(Jateng X) 48516 .","Other"
"233","H. A. HANAFI RAIS, S. I. P. , M. P. P. (DIY)48617 .","Other"
"234","H. SUNGKONO(Jatim 1) 48718 .","Other"
"235","H. TOTOK DARYANTO, S. E. (Jatim V)48919 .","Other"
"236","Drs. H. KUSWIYANTO, M. Si(Jatim IX)49220 .","Other"
"237","M. ALI TAHER PARASONG(Banten III) 49521 .","Request"
"238","H. SYAHRULAN PUA SAWA(NTTI)49722 .","Other"
"239","H. SUKIMAN, S. PD .","Other"
"240",", M. M. (Kalbar)49823 .","Other"
"241","Dra. YASTI SOEPREDJO MOKOAGOW(Sulut)50024 .","Other"
"242","Ir. H. ANDI TAUFAN TIRO(Sulsel II)50225 .","Request"
"243","AMRAN, S. E. (Sulsel III)503Jumlah kehadiran dari Fraksi Partai Amanat Nasional 25 dari 48 orang Anggota6 .","Other"
"244","FRAKSI PARTAI KEBANGIKTAN BANGSANOURUTNAMANOMOR | ANGGOTA1 .","Other"
"245","MAR WAN DASOPANG(Sumut II)382 .","Request"
"246","H. HANDAYANI, S. K. M. (Jambi)403 .","Other"
"247","BERTU MERLAS, S. T. (Sumsel II)414 .","Request"
"248","Drs. H. MUSA ZAINUDDIN(Lampung 1)425 .","Other"
"249","KRISNA MUKTI(Jabar VII)466 .","Other"
"250","H. DEDI WAHIDI, S. Pd .","Other"
"251","(Jabar VIII)477 .","Other"
"252","H. MAM AN IMANULHAQ(Jabar IX)488 .","Other"
"253","Drs. FATHAN 52i (Jateng II)14NOURUT NAMANOMORANGGOTA3 .","Other"
"254","Drs. H. CHAIRUL ANWAR, Apt .","Other"
"255","(Riau 1) 904 .","Other"
"256","Drs. H. MOHD .","Other"
"257","IQBAL ROMZI(Sumsel II) 925 .","Suggestion"
"258","Drs. H. ADANG DARADJATUN(DK! Jakarta III) 976 .","Suggestion"
"259","Hj. LEDIA H. AMALIAH, S. Si .","Other"
"260",", M. Psi. T. (Jabar 1) 987 .","Suggestion"
"261","H. ECKY AWAL MUCHARAM, S. E. Ak. (Jabar III) 1008 .","Suggestion"
"262","H. TB .","Other"
"263","SOENMANDJAJA(Jabar V)1029 .","Other"
"264","Dr. H. SA'DUDDIN, M. M. (Jabar VII)10410 .","Suggestion"
"265","Drs. MAHFUDZ SIDDIQ, M. Si .","Suggestion"
"266","(Jabar VIII)10511 .","Other"
"267","H. NURHASAN ZAIDI(Jabar IX)10612 .","Suggestion"
"268","Dr. MOHAMAD SOHIBUL IMAN(Jabar XI)10813 .","Statement"
"269","Dr. H. M. GAMARI SOETRISNO(Jateng III)10914 .","Statement"
"270","Drs. H. HAMID NOOR YASIN, M. M. (Jateng IV)11015 .","Other"
"271","H. ABDUL KHARIS ALMASYHARI, S. E. , M. Si .","Other"
"272",", Akt. (Jateng V)11116 .","Other"
"273","Drs. ABDUL FIKRI, M. M. (Jateng IX)11217 .","Other"
"274","Dr. ZULKIEFLIMANSYAH, S. E. , M. Sc .","Statement"
"275","(Banten II)11618 .","Other"
"276","H. JAZULI JUWAINI, Lc .","Other"
"277",", M. A. (Banteng III)11719 .","Statement"
"278","H. HADI MULYADI, S. Si .","Other"
"279",", M. Si .","Other"
"280","(Kaltim))120jJumlah kehadiran dari Fraksi Partai Keadilan Sejahtera 19 dari 40 orang Anggota8 .","Request"
"281","FRAKSI PARTAI PERSATUAN PEMBANGUNANNOURUTNAMANOMORANGGOTA1 .","Other"
"282","Drs. H. ANWAR IDRIS(Aceh III)5062 .","Suggestion"
"283","Dra. Hj. ELVIANA, M. Si .","Other"
"284","(Jambi)5113 .","Other"
"285","H. ACHMAD FAUZAN HARUN, S. H. , M. Kom .","Other"
"286","l .","Other"
"287","(DK! Jakarta 1)512*15NOURUT NAMANOMORANGGOTA4 .","Other"
"288","DR .","Other"
"289","H. R. ACHMAD DIMYATI NATAKUSUMAH, S. H. , M. H. , M. Si .","Other"
"290","(DKI Jakarta III) 5145 .","Other"
"291","H. JOKO PURWANTO(Jabar III) 5156 .","Other"
"292","Dr. Hj. RENI MARLINAWATI(Jabar IV)_______________________________________________ 5167 .","Other"
"293","H. ACHMAD FARIAL(Jabar V) 5178 .","Other"
"294","H. DONY AHMAD MUNIR, S. T. , M. M. (Jabar IX) 5199 .","Other"
"295","Hj. NURHAYATI(Jabar XI)52110 .","Other"
"296","H. MUKHLISIN(Jateng I I )  .","Other"
"297","H. MOHAMAD ARWANI THOMAFI(Jateng III)52312 .","Other"
"298","KH .","Other"
"299","MUSLICH ZA .","Other"
"300","(Jatenq VI)52413 .","Other"
"301","H. ARSULSANI, S. H. , M. Si .","Statement"
"302","(Jateng X)52814 .","Other"
"303","SY .","Other"
"304","ANAS THAHIR(Jatim III)53015 .","Suggestion"
"305","Hj. IRNA NARULITA, S. E. , M. M. (Banten 1)53316 .","Other"
"306","Dra. Hj. ERMALENA MHS .","Other"
"307","(NTB)53617 .","Other"
"308","H. MUHAMMAD ADITYA MUFTI ARIFIN, S. H. (Kalsel II)53918 .","Suggestion"
"309","Hj. KASRIYAH(Kaltim)54019 .","Other"
"310","Hj. FATMAWATI RUSDI, S. E. (Sulsel III)54320 .","Suggestion"
"311","Dr. H. MZ .","Other"
"312","AMIRULTAMIM, M. Si .","Other"
"313","(Sultra)544Jumlah kehadiran dari Fraksi Partai Persatuan Pembangunan 20 dari 39 orang Anggota9 .","Other"
"314","FRAKSI PARTAI NASDEMNOURUTNAMANOMORANGGOTA1 .","Other"
"315","SAHAT SILABAN(SumutII)42 .","Other"
"316","H. M. ALI UMRI, S. H,, M. Kn .","Other"
"317","(Sumut III)53 .","Other"
"318","H. ENDRE SAIPOEL(Sumbar 1)616NOURUTNAMA NOMORANGGOTA4 .","Other"
"319","IRMA SURYANI(Sumsel II)75 .","Suggestion"
"320","Drs. TAMANURI, M. M. (Lampung II)96 .","Suggestion"
"321","Drs. H. NYAT KADIR(KEPRI) 107 .","Other"
"322","ALI MAHIR(Jateng II) 148 .","Suggestion"
"323","Drs. KH .","Other"
"324","CHOIRUL MUNA(Jateng VI)169 .","Other"
"325","AMELIA ANGGRAINI(Jateng VII)17|10 .","Other"
"326","Drs. H. HASAN AMINUDIN, M. Si .","Other"
"327","(Jatlm II)1811 .","Other"
"328","Drs. T. TAUFIQULHADI, M. Si .","Other"
"329","(Jatim IV)1912 .","Other"
"330","KRESNA DEWANATA PHROSAKH(Jatim V)2013 .","Other"
"331","Drg .","Other"
"332","Hj. YAYUK SRIRAHAYUNINGSIH, M. M. , M. H. (Jatim VII)2214 .","Other"
"333","Hj. TRI MURNY, S. H. (Banten 1)I2515 .","Other"
"334","Dr. H. KURTUBI, S. E. , M. Sp .","Other"
"335",", M. Sc .","Other"
"336","(NTB)2616 .","Other"
"337","VICTOR BUNGTILU LAISKODAT(NTT II)2817 .","Other"
"338","H. SYARIF ABDULLAH ALKADRIE(Kalbar)2918 .","Other"
"339","Dr. H. ACHMAD AMINS, M. M. (Kaltim)3119 .","Other"
"340","AKBAR FAISAL(SulselII)3320 .","Other"
"341","DR .","Other"
"342","ACHMAD HATARI, S. E. , M. Si .","Request"
"343","(Maluku Utara)35Jumlah kehadiran dari Fraksi Partai Nasional Demokrat 20 dari 36 orang Anggota10 .","Statement"
"344","FRAKSI PARTAI HANURANO NAMA NOMORURUT ANGGOTA1 .","Statement"
"345","Ir. NURDIN TAMPUBOLON(Sumut 1)5452 .","Other"
"346","FAUZIH H. AMRO, M. Si .","Other"
"347","(Sumsel 1)5483 .","Other"
"348","MOH .","Other"
"349","ARIEF S. SUDITOMO, S. H. , M. A. (Jabar 1)55017covv < j [4 .","Statement"
"350","H. DADANG RUSDIANA, S. E. , M. Si .","Other"
"351","(Jabar II) 5515 .","Other"
"352","CAPT, H. DJONI ROLINDRAWAN, S. E. , M. Mar .","Other"
"353",", M. B. A. (Jabar III)5526 .","Statement"
"354","LALU GEDE SYAMSUL MUJAHIDIN, S. E. (NTB)5577 .","Other"
"355","FERRY KASE, S. H,(NTT II)5588 .","Statement"
"356","H. SARIFFUDDIN SUDDING, S. H. , M. H. (Sultenq)5599 .","Other"
"357","Hj. DEWIE YASIN LIMPO, S. E. (Sulsel 1)560Jumlah kehadiran dari Fraksi Partai HANURA 9 dari 16 orang Anggota18KETUA RAPAT (Dr AGUS HERMANTO/F-PD):Kami persilakan untuk menempati tempat yang sudah disiapkan karena Rapat Paripurna akan kita mulai .","Other"
"358","Bismillaahirrahmaanirrahiim .","Other"
"359","Assalaamu'alaikum Warahmatullaahi Wabarakatuh .","Other"
"360","Selamat siang dan salam sejahtera untuk kita semua .","Statement"
"361","Yang kami hormati Bapak, Ibu, para Anggota DPR Rl dan hadirin sekalian yang berbahagia .","Other"
"362","Pertama-tama marilah kita panjatkan puji dan syukur kehadirat Allah SWT .","Other"
"363","Tuhan Yang Maha Kuasa atas limpahan karunia-Nya kepada kita semua sehingga kita dapat mengikuti Rapat Paripurna DPR Rl pada hari ini dalam keadaan sehat wal afiat untuk melaksanakan tugas kostitusional kita .","Statement"
"364","Menurut catatan dari Sekretariat Jenderal DPR Rl daftar hadir pada permuiaan Rapat Paripurna hari ini telah ditandatangani oleh 286 dari 555 Anggota DPR Rl dan dihadiri oleh Anggota dari seluruh fraksi yang ada di DPR Rl dengan rincian sebagai berikut:1 .","Statement"
"365","Fraksi PDI Perjuangan2 .","Other"
"366","Fraksi Partai Golkar3 .","Other"
"367","Fraksi Partai Gerindera4 .","Other"
"368","Fraksi Partai Demokrat5 .","Other"
"369","Fraksi Partai Amanat Nasional6 .","Other"
"370","Fraksi Partai Kebangkitan Bangsa7 .","Other"
