"ID","Kalimat","Kelas"
"101","Kalbar)21767 .","Other"
"102","ASDY NARANG, S. H. , M. Comm .","Other"
"103","LAW(Kalteng) 219L  .","Other"
"104","6NO iURUT| NAMANOMORANGGOTA68 .","Other"
"105","VANDA SARUNDAJANG(Sulut)22469 .","Other"
"106","Ir. RENDY M. AFFANDY LAMADJIDO(Sulteng) _  .","Other"
"107","ANDI RIDWAN WITTIRI, S. H. (Sulsel 1)22671 .","Other"
"108","MERCY CHRIESTY BARENDT, S. T. (Maluku)22872 .","Other"
"109","IRINE YUSIANA ROBA PUTRI, S. Sg s  .","Other"
"110",", M. Comn & Media .","Other"
"111",", S. T. (Maluku Utara) 22973 .","Other"
"112","TONY WARDOYO(Papua)231Jumlah kehadiran dari Fraksi Partai Demokrasi Indonesia Perjuangan 73 dari 109 orang Anggota2 .","Other"
"113","FRAKS! PARTAI GOLONGAN KARYANO| URUTNAMA NOMORANGGOTA1 .","Other"
"114","Dr. Capt .","Other"
"115","ANTHON SIHOMBING(Sumut III)2372 .","Other"
"116","H. JOHN KENEDY AZIS, S. H. (Sumbar II)2403 .","Other"
"117","Ir. H. M. IDRIS LAENA(Riau II)2424 .","Other"
"118","DOD1 REZA ALEX NOERDIN(Sumsel 1)2445 .","Other"
"119","Drs. H. KAHAR MUZAKIR(Sumsel 1)2456 .","Other"
"120","BOBBY ADHITYO RIZALDI, S. E. Ak. , M. B. A. , C. F. E. (Sumsel II)2467 .","Other"
"121","DWIE AROEM HADIATIE(Lampunq 1)2478 .","Other"
"122","Dr. M. AZIS SYAMSUDDIN(Lampung II)2489 .","Other"
"123","IIr .","Other"
"124","H. AZHAR ROMLI, M. Si .","Other"
"125","(Bangka Belitung)24910 .","Other"
"126","BAMBANG wiYOGO, S. E. (DKI Jakarta 1)25011 .","Statement"
"127","Ir. FAYAKHUN ANDRIADI M. Kom,(DKI Jakarta II)25112 .","Other"
"128","TANTOWI YAHYA(DKI Jakarta III)25213 .","Other"
"129","Ir. H. LILI ASDJUDIREDJA, S. E. , Ph .","Other"
"130","D. (Jabar II)2557NOURUTNAMA NOMORANGGOTA14,Hj .","Other"
"131","DEWi ASMARA, S. H. , M. H. (Jabar IV) 25815 .","Statement"
"132","Ir. H. AIRLANGGA HARTARTO, M. B. A. (Jabar V) 25916 .","Other"
"133","ICHSAN FIRDAUS(Jabar V) 26017 .","Statement"
"134","DAVE AKBARSHAH FIKARNO LAKSONO .","Other"
"135","M. E. (Jabar VIII) 264 i18 .","Statement"
"136","H. AHMAD ZACKY SIRADI(Jabar XI) 26919 .","Other"
"137","""FIRMAN SOEBAGYO, S. E. , M. H. (Jateng IJJl 27320 .","Other"
"138","ENDANG SRIKARTI HANDAYANI, S. H. , M. Hum (Jateng V)27521 .","Other"
"139","BAMBANG SOESATYO, S. E. , M. B. A. (Jateng VII)27722 .","Other"
"140","H. DITO GANINDUTO .","Other"
"141","M. B. A. (Jateng VIII)27823 .","Other"
"142","SITI HEDIATI SOEHARTO, S. E. (DIY)28124 .","Other"
"143","Ir. H. ADIES KADIR, S. H. , M. Hum .","Other"
"144","(Jatim 1) 28225 .","Other"
"145","H. MUKHAMAD MISBAKHUN, S. E. (Jatim II)28326 .","Other"
"146","HARDISOESILO(Jatim III)284I27,Ir .","Other"
"147","H. M. RIDWAN HISJAM(Jatim V)286\28 .","Other"
"148","M. SARMUJI S. E. , M. Si .","Other"
"149","(Jatim VI)28729 .","Other"
"150","D^ h g AT0T s Od JITO, M. Si .","Other"
"151","(Jatim VII)28830 .","Other"
"152","ir .","Other"
"153","H. S. W. YUDHA, M. Sc .","Other"
"154","(Jatim IX)29031 .","Other"
"155","ENI MAULANI SARAGIH(Jatim X)29132 .","Other"
"156","H. ZAINUDIN AMALI(Jatim XI)29233 .","Other"
"157","GDE SUMARJAYA LINGGIH, S. E. (Bali)29634 .","Other"
"158","A. A. BAGUS ADHI MAHENDRA PUTRA(Bali)29735 .","Other"
"159","H. MUHAMMAD LUTFI, S. E. (NTB)29836 .","Other"
"160","MELCHIAS MARKUS MEKENG(NTT!) 299|INOURUTNAMA NOMORANGGOTA37 .","Other"
"161","Drs. SETYA NOVANTO(NTT II) 30038 .","Other"
"162","Hj. AGATI SULIE MAHYUDIN, S. E. (Kaltenq) 30339 .","Other"
"163","H. INDRO HANANTO(Kalsel 1) 30540,H .","Other"
"164","MAHYUDIN, S. T. , M. M. (Kaltim) 30741 .","Other"
"165","Dr. Hj. NENI MOERNIAENI, Sp .","Other"
"166","OG .","Other"
"167","(Kaltim)30842 .","Other"
"168","H. MUHIDIN MOHAMAD SAID(Sulteng)31043 .","Other"
"169","Drs. HAMKA B. KADY(Sulsel 1)31144 .","Other"
"170","H. SYAMSUL BACHRI, M. Sc .","Other"
"171","(Sulsel II)31245 .","Other"
"172","H. ANDI RIO IDRIS PADJALANGI, S. H. , M. Kn .","Other"
"173","(Sulsel II)31346 .","Other"
"174","Dr. Ir. MARKUS NARI, M. Si .","Other"
"175","(Sulsel III)31447 .","Other"
"176","drg. Hj. ANDI FAUZIAH PUJIWATIE HATTA, S. K. G. (Sulsel III)31548 .","Other"
"177","Ir. RIDWAN BAE(Sultra)31649 .","Other"
"178","Drs. H. ROEM KONO(Gorontalo)318i50 .","Other"
"179","EDISON BETAUBUN, S. H. , M. H. ! (Maluku)32051 .","Other"
"180","| Dr. SAIFUL BAHR1 RURAY, S. H. , M. Si .","Other"
"181","1 (Maluku Utara)32152 .","Other"
"182","| ROBERT JOPPY KARDINAL, S. AB .","Other"
"183","1 (Papua Barat)323Jumlah kehadiran dari Fraksi Partai GOLKAR 52 dari 91 orang Anggota3 .","Other"
"184","FRAKSI PARTAI GERINDRANO NAMA NOMORURUT ANGGOTA1 .","Other"
"185","KHAIDIR(Aceh II)3252 .","Other"
"186","H. GUS IRAWAN PASARIBU, S. E. Ak. , M. M. (Sumut II)3273 .","Other"
"187","MARTIN HUTABARAT, S. H. (SumutIII)3299NOURUT |NAMA NOMORANGGOTA4 .","Other"
"188","Dr. H. SU1R SYAM, M. Kes .","Other"
"189",", M. M. R. (Sumbar 1) 3305 .","Other"
"190","ADE REZKJ PRATAMA, S. E. (Sumbar II)3316 .","Other"
"191","EDHY PRABOWO, M. M. ,M .","Other"
"192","B. A. (Sumsel 1)3357 .","Other"
"193","jH .","Other"
"194","AHMAD MUZANi[Lampung 1)3388 .","Other"
"195","ASRIL HAMZAH TANJUNG, S. I. P. (DKI Jakarta 1)3409,H .","Other"
"196","BIEM TRIAN! BENJAMIN, B. Sc .","Other"
"197",", M. M. (DKI Jakarta II)34110 .","Other"
"198","RACHEL MARYAM SAYIDINA(Jabarll)34411 .","Other"
"199","HERI GUNAWAN(Jabar IV)34612 .","Other"
"200","F A D LI Z O N , S  .","Other"
"201","S  .","Other"
"202",", M  .","Other"
"203","S c  .","Other"
"204","(Jabar V)34713 .","Other"
"205","Drg .","Other"
"206","PUT1H SARI(Jabar VII)34914 .","Other"
"207","Dr. Ir. H. KARDAYA WARNIKA, D. E. A. (JabarVIII)35015 .","Other"
"208","H. 0 0 SUTISNA, S. H. (Jabar IX)35116 .","Other"
"209","ABDUL WACHID(Jatenq II)35417 .","Other"
"210","Hj. SRIWULAN, S. E. (Jateng III)35518 .","Other"
"211","RAHAYU SARASWATI DJOJOHADIKUSUMO(Jateng IV)35619 .","Other"
"212","Ir. H. HARRY POERNQMO(Jateng VI)35820 .","Statement"
"213","Ir. KRT .","Other"
"214","H. DARORI WONODIPURO, M. M. (Jateng VII)35921 .","Other"
"215","Hj. NOVITA WIJAYANTI, S. E. , M. M. (Jateng VIII)36022 .","Other"
"216","MOHAMAD HEKAL, M. B. A. (Jateng IX)36123 .","Other"
"217","RAMSON SIAGIAN(Jateng X) ______ _ 36224 .","Other"
"218","ANDIKA PANDU PURAGABAYA, S. Psi. , M. Si .","Other"
"219",", M. Sc .","Other"
"220","(DIY)36325 .","Other"
"221","Ir. BAMBANG HARYO SOEKARTONO(Jatim 1)36426 .","Other"
"222","|Ir .","Other"
"223","SUMAIL ABDULLAH(Jatim III) 366j10NOURUTNAMA NOMORANGGOTA27 .","Other"
"224","BAMBANG HARYADI, S. E. (Jatim IV) 36728 .","Other"
"225","Drs. SUPRIYANTO{Jatim VII) 37029 .","Other"
"226","Dr. H. SAREH WIYONO Ml .","Other"
"227","S. H. M. H. (Jatim VIII) 37130 .","Statement"
"228","WIHADI WIYANTO, S. H. (Jatim IX)37231 .","Statement"
"229","KHILMi(Jatim X)37332 .","Other"
"230","H. MOH NIZAR ZAHRO, S. H. (Jatim XI)37433 .","Statement"
"231","H. ANDA, S. E. , M. M. (Banten 1) 37534 .","Opinion"
"232","H. DESMOND JUNAID1 MAH ESA, S. H. , M. H. (Banten IJJ37635 .","Other"
"233","Ir. SUFMI DASCO AHMAD(Banten III)37736 .","Statement"
"234","IDA BAGUS PUTU SUKARTA, S. E. , M. Si .","Other"
"235","(Bali)37837 .","Other"
"236","H. WiLLGO ZAINAR, S. E. , M. B. A. (NTB)37938 .","Other"
"237","Pi US LUSTRILANANG, S. I. P. , M. Si .","Other"
"238","(NTT!)38039 .","Other"
"239","Ir. FARY DJEMY FRANCIS, M. M. A. (NTT II)38140 .","Request"
"240","KATHERINE A. OENDOEN(Kalbar)38241 .","Other"
"241","H. 1WAN KURNIAWAN, S. H. (Kalteng)38342 .","Other"
"242","Drs. H. SYAIFUL RASYID, M. M. (Kalsel 1)38443 .","Statement"
"243","Drs. H. SJACHRANI MATAJA, M. M. , M. B. A. (Kalsel II)38544 .","Request"
"244","LUTHER KOMBONG(Kaltim)38645 .","Other"
"245","Drs. WENNY WAROUW(Sulut)38746 .","Statement"
"246","SUPRATMAN, S. H. , M. H. (Sulteng)38847 .","Other"
"247","H. ANDI IWAN DARMAWAN ARAS .","Other"
"248","S. E. (Sulsel II)39048 .","Request"
"249","Drs. H. ANDI NAWIR, M. P. (Sumsel III)39149 .","Other"
"250","ELNINO M. HUSEIN MOHI, S. T. , M. Si .","Other"
"251","(Gorontalo) 39311NOURUTNAMA .","Other"
"252","NOMORANGGOTA50 .","Other"
"253","ROBERTH ROUW(Papua) 396 i .","Other"
"254","1Jumfah kehadiran dari Fraksi Partai GERINDRA 50 dari 73 orang Anggota4 .","Other"
"255","FRAKSI PARTAI DEMOKRATNOURUTNAMA NOMORANGGOTA1 .","Other"
"256","H. TEUKU RIEFKY HARSYA, B. Sc .","Other"
"257",", M. T. (Aceh 1) 3972 .","Other"
"258","RUHUT SifOMPUL, S. H. (Sumut 1) 3993 .","Other"
"259","H. DARIZAL BASIR(Sumbar 1)4024 .","Other"
"260","Ir. H. MULYADI(Sumbar!!)4035 .","Suggestion"
"261","MUHAMMAD NASIR(  .","Other"
"262","RiauII)4056 .","Other"
"263","Drs. H. ZULFIKAR ACHMAD(Jambi)4067 .","Other"
"264","H. SYOFWATILLAH MOHZAIB, S. Sos .","Other"
"265","(Sumsel 1)4078 .","Other"
"266","WAHYU SANJAYA, S. E. (S u m s e l I I )4089 .","Suggestion"
"267","Ir. H. MARWAN CIK ASAN, M. M. {Lampung II)41010 .","Suggestion"
"268","Hj. MELANIE LEIMENA SUHARLI(DKIJakarta II)41311 .","Statement"
"269","H. AGUNG BUDI SANTOSO, S. H. , M. M. (Jabar 1)41412 .","Other"
"270","DEDE YUSUF MACAN EFFENDI, S. T. (Jabar II)41513 .","Statement"
"271","Jr .","Other"
"272","H. E. HERMAN KHAERON, M. Si .","Other"
"273","(Jabar VIII)41914 .","Other"
"274","LINDA MEGAWATI, S. E. , M  .","Other"
"275","S i .","Other"
"276","(Jabar IX)42015 .","Other"
"277","H. AMIN SANTONO, S. Sos .","Other"
"278","(Jabar X)42116 .","Other"
"279","SiTI MUFATTAHAH, Psi. (Jabar XI)42217,Dr .","Other"
"280","AGUS HERMANTO(Jateng 1)42318 .","Other"
"281","Dr. IR .","Other"
"282","DJOKO UDJIANTO, M. M. (Jateng III)42419 .","Suggestion"
"283","RINTO SUBEKTI, S. E. , M. M. (Jateng IV)42512NO NAMA NOMORURUTiANGGOTA20 .","Other"
"284","EVi ZAINAL ABIDIN, B. Comm .","Other"
"285","JJatim II)42921 .","Other"
"286","Ir. H. AZAM AZMAN NATAWIJANA(Jatim III)43022 .","Suggestion"
"287","Drs. AYUB KHAN(Jatim IV) |43123 .","Suggestion"
"288","EDHIE BASKORO YUDHOYONO, M. Sc .","Other"
"289","(Jatim VIIII43424 .","Other"
"290","SARTONO HUTOMO(Jatim VII)43525 .","Suggestion"
"291","Drs. H. GUNTUR SASONO, M. Si .","Other"
"292","(Jatim VIII)143626 .","Other"
"293","DIDIK MUKRIANTO, S. H. (Jatim IX)43727 .","Other"
"294","VIVI SUMANTRI JAYABAYA, S. Sos .","Other"
"295","(Banten 1) 43928 .","Other"
"296","]1 PUTU SUDIARTANA(Bali) 44229 .","Other"
"297","Dr. BENNY K. HARMAN, S. H. (NTT!) 44430 .","Other"
"298","ERMA SURYANI RANIK, S. H. JKalbar)44631 .","Other"
"299","NORBAITI ISRAN NOOR, A. Md,(Kaltim)447i \32 .","Other"
"300","dr. VERNA GLADIES M. INKIRIWANG(Sulteng)44933,Hj .","Statement"
"301","ALIYAH MUSTIKA ILHAM, S. E. (Sulsel 1)45034 .","Statement"
"302","Ir. H, MUHAMMAD NASYIT UMAR, s .","Suggestion"
"303","p .","Other"
"304","(Sulsel li)45135 .","Other"
"305","Dr. Ir. BAHRUM DAIDO .","Other"
"306","M. Si .","Other"
"307","(Sulsel III)452 (36 .","Other"
"308","Drs. H. UMAR ARSAL(Sultra)453\37 .","Other"
"309","MAYJEN TNI (PURN) SALIM MENGGA(Sulbar)45438 .","Other"
"310","MICHAEL WATTIMENA, S. E. , M. M. (Papua Barat)457|Jumlah kehadiran dari Fraksi Partai Demokrat 38 dari 61 orang Anggota135 .","Other"
"311","FRAKSi PARTAi AM AN AT NASIONALNOURUT NAMANOMORANGGOTA1 .","Other"
"312","MULFACHRI HARAHAP, S. H. (Sumut 1) 4592 .","Other"
"313","Dr. SALEH PARTAONAN DAULAY, M. Ag .","Other"
"314",", M. Hum .","Other"
"315",", M. A. (Sumut II) 4603 .","Suggestion"
"316","H. MHDASLI CHAiDIR, S. H. (Sumbar 1) 4624 .","Other"
"317","H. JON ERIZAL, S. E. , M. B. A. (Riau 1) 4635 .","Other"
"318","H. A. BAKRI HM, S. E. j (Jambi) 4646 .","Other"
"319","HANNA GAYATRI, S. H. (Sumsel II)j4667 .","Suggestion"
"320","Hj. DEWI CORYATI, M. Si .","Other"
"321","(Bengkulu)4678 .","Other"
"322","AHMAD NAJIB GUDRATULLAH, S. E. (Jabar II)4719 .","Suggestion"
"323","Hj. DESY RATNASARI, M. Si .","Other"
"324",", M. Psi. (Jabar VI)47210 .","Other"
"325","PRIMUS YUSTISIO(Jabar V)47311 .","Other"
"326","BUDI YOUYASTRI(Jabar X)47612 .","Other"
"327","HAERUDIN, S. Ag .","Other"
"328",", M. H. (Jabar XI)47713 .","Other"
"329","MOHAMMAD HATTA(Jateng V)48014 .","Other"
"330","Ir. H. TJATUR SAPTO EDY, M. T. (Jateng VI)48115 .","Other"
"331","Ir. TAUFIK KURNIAWAN, M. M. (Jateng VII)48216 .","Other"
"332","Ir. H. TEGUH JUWARNO, M. Si .","Other"
"333","(Jatenq IX)48417 .","Other"
"334","ANDRIYANTO JOHAN SYAH(Jatenq X)48518 .","Other"
"335","H. A. HANAFI RAIS, S. I. P. , M. P. P. (DIY)  .","Other"
"336","H. SUNGKONO(Jatim 1)48720 .","Other"
"337","H. TOTOK DARYANTO, S. E. (Jatim V)48921 .","Other"
"338","Ir. A. RISK! SADIG(Jatim VI)49022 .","Other"
"339","M. ALI TAHER PARASONG(Banten III)j49514NOURUT NAMANOMORANGGOTA23 .","Other"
"340","H. MUHAMMAD SYAFRUDIN, S. T. , M. M. (NTB) 49624 .","Request"
"341","H. SYAHRULAN PUA SAWA(NTT!) 49725 .","Request"
"342","HANG ALI SAPUTRA SYAH PAHAN, S. H. (Kaltengl j 49926 .","Request"
"343","Dra. YAST! SOEPREDJO MOKOAGOW(Sulut) ! 50027 .","Request"
"344","INDIRA CHUNDATHITA SYAHRUL, S. E. , M. M. (Sulsel 1) 50128 .","Request"
"345","ir .","Other"
"346","H. ANDI TAUFAN TIRO[SulselII)50229 .","Other"
"347","Dra. Hj. Tina Nur Alam, M. M. (S ultra)50430 .","Other"
"348","H. JAMALUDDIN JAFAR, S. H. , M. H. (Papua)505Jumlah kehadiran dari Fraksi Partai Amant Narional 30 dari 48 orang Anggota6 .","Other"
"349","FRAKS! PARTAI KEBANGIKTAN BANGSANO I NAMA URUTNOMORANGGOTAI1 .","Other"
"350","MARWAN DASOPANG(Sumut 11)382 .","Other"
"351","H. HANDAYANI, S. K. M. (Jambi)403 .","Other"
"352","BERTU MERLAS, S. T. (Sumsel II)414 .","Statement"
"353","H. CUCUN AHMAD SYAMSURIJAL, S. Ag .","Other"
"354","(Jabar II)445 .","Other"
"355","NENG EEM MARHAMAH ZULFA HIZ, S. Fil .","Other"
"356","(Jabar III)456 .","Other"
"357","KRfSNA MUKTI(Jabar VII)467 .","Other"
"358","H. MAMAN IMANULHAQ(Jabar IX)488 .","Other"
"359","Drs. FATHAN(Jateng II)529 .","Other"
"360","H. MARWAN JAFAR(Jateng III)5310 .","Statement"
"361","Drs. H. MOHAMAD TOHA, S. Sos .","Other"
"362",", M. Si .","Other"
"363","(Jateng V)5411 .","Other"
"364","H. ABDUL KADIR KARDING, S. Pi .","Other"
"365",", M. Si .","Other"
"366","(Jateng VI)5512 .","Other"
"367","i .","Other"
"368","-------------Drs .","Other"
"369","H. TAUFIQ R. ABDULLAH(Jateng VII)5615NOURUT NAMA !NOMORANGGOTA13 .","Statement"
"370","SITI MUKAROMAH, S. Ag .","Other"
"371","j(Jateng VIII)5714 .","Other"
"372","H. AGUS SULISTIYONO, S. T. , M. T. j m  .","Other"
"373","Hj. NIHAYATUL WAFIROH, M. A. j(Jatim III) !6516 .","Opinion"
"374","Ir. M. NASIM KHAN(Jatim III)6617 .","Opinion"
"375","Drs. H. M, SYAIFUL BAHRI ANSHORI, M. P. (Jatim IV)6718 .","Opinion"
"376","HADI ZAINAL ABIDIN, S. Pd .","Other"
"377",", M. M. (Jatim IV)6819 .","Opinion"
"378","Drs. IBNU MULTAZAM(Jatim VII)7120 .","Opinion"
"379","Drs. H. ABD .","Other"
"380","MUHAIMIN ISKANDAR .","Other"
"381","M. Si .","Other"
"382","(Jatim VIII )7221 .","Other"
"383","Dra. Hj. IDA FAUZIYAH, M. Si .","Other"
"384","(Jatim VIII)73j22 .","Other"
"385","Hj. ANNA MUAWANAH, S. E. , M. H. (Jatim IX)i74j23 .","Statement"
"386","H. JAZILUL F AW AID, S. Q. , M. A. (Jatim X)!75j24 .","Statement"
"387","Dr. KH .","Other"
"388","KHOLILURRAHMAN, S. H. , M. Si .","Other"
"389","(Jatim XI)7625 .","Other"
"390","Dra. Hj. SITI MASRIFAH, M. A. (BantenIII)7726 .","Other"
"391","Ir. H. A. HELMY FAISHAL ZAINI(NTB)7827 .","Statement"
"392","DANIEL JOHAN(Kalbar)7928 .","Other"
"393","Dr. H. M. ZAIRULLAH AZHAR(Kalsel II)8129 .","Statement"
"394","PEGGI PATRiSIA PATTI PI(Papua)83Jumlah kehadiran dari Fraksi Partai Kebangkitan Bangsa 29 dari 47 orang Anggota7 .","Other"
"395","FRAKSi PARTAI KEADILAN SEJAHTERANOURUTNAMANOMORANGGOTA1 .","Other"
"396","TIFATUL SEMBIRINGI (Sumut 1)852 .","Other"
