"ID","Kalimat","Kelas"
"96","Bahkan kita punya tempat latihan peacekeeping force di Sentul yang sangat bergengsi, artinya sangat dihargai29oleh dunia .","Other"
"97","Kejadian ini tentunya sangat merusak diplomasi Indonesia yang selama ini memang sangat kurang .","Request"
"98","Kurang aktif .","Other"
"99","Kami berharap Pimpinan DPR meminta kepada Pemerintah menjelaskan kejadian ini dan mencari secara tuntas siapa yang melakukan dan secara transparan dilakukan pengadilan, dipengadilan .","Statement"
"100","Hukumnya hams secara terbuka sebagaimana kejadian-kejadian yang ada di Indonesia .","Other"
"101","Ini tidak bisa diremehkan karena parlemen mempunyai fungsi diplomasi yang saat ini sedang bagus-bagusnya .","Other"
"102","Pimpinan DPR memimpin berbagai macam sidang Internasional .","Other"
"103","Dan ini suatu prestasi bagi DPR Rl .","Other"
"104","Tetapi kejadian Darfur sangat melukai hati kita .","Statement"
"105","Apalagi ada tuduhan saling menuduh .","Other"
"106","TNI mengatakan TNI tidak .","Other"
"107","Tetapi dimungkinkan, diduga oknum polisi .","Other"
"108","Bagaimana kejadian ini bisa terjadi?","Opinion"
"109","Saya minta Pimpinan DPR sekali iagi meminta kepada Pemerintah untuk memberikan tanggung jawab apa sebab dan apa kejadiannya .","Other"
"110","Terima kasih .","Other"
"111","Assalamu'alaikum WarahmatullahiWabarakaatuh .","Other"
"112","KETUA RAPAT:Wa'alaikum salam Warahmatullahi Wabarakatuh .","Other"
"113","Pak Edison silakan .","Other"
"114","Yang terakhir Pak ya .","Other"
"115","F-PG (EDISON BETAUBUN, SH, MH):Yang saya hormati Pimpinan DPR Rl,Seluruh rekan-rekan Anggota DPR Rl yang saya hormati,Saya Edison Betaubun Nomor Anggota: 320, Dapil Maluku dari Fraksi Partai Golkar .","Other"
"116","Saya hanya mau menyampaikan pandangan-pandangan yang tadi disampaikan oleh teman-teman itu rasional tetapi kita juga harus objektif .","Other"
"117","Bahwa apa yang dilakukan oleh Pemerintah termasuk Kapolri itu juga tentu didasarkan pada bukti-bukti hukum yang jelas .","Request"
"118","Oleh karena itu pada kesempatan ini juga, saya berharap agar kepolisian Republik Indonesia menindak tegas sikap aneh-aneh melalui berbagai pernyataan- pernyataan yang tidak rasional .","Request"
"119","Jika itu melanggar hukum itu harus ditindak tegas .","Other"
"120","Jadi kita bukan sekedar melakukan pengawasan untuk membela langkah-langkah yang tidak rasional .","Other"
"121","Oleh karena itu saya sependapat dengan apa yang disampaikan oleh teman- teman tetapi juga kita harus rasional bahwa yang dilakukan oleh Polri tidak mungkin mereka bertindak-tindak sewenang-wenang tanpa didasarkan pada bukti-bukti hukum yang jelas .","Other"
"122","Oleh karena itu saya juga berharap agar Pemerintah termasuk Kapolri supaya bersikap tegas terhadap langkah-langkah yang aneh-aneh yang dilakukan oleh masyarakat Indonesia yang bisa memecah belah persatuan dan kesatuan bangsa .","Other"
"123","Itu saja catatan saya Pimpinan .","Request"
"124","Terima kasih .","Other"
"125","30KETUA RAPAT: Baik .","Other"
"126","Terima kasih Pak Edison .","Other"
"127","Saya kira nanti hak-hak bertanya memang banyak kita salurkan melalui Komisikomisi dan Alat Kelengkapan kita sebagaimana yang ditentukan didalam konstitusi dan Undang-Undang MD3 .","Other"
"128","Selanjutnya Sidang Dewan yang kami hormati, Sesuai dengan hasil keputusan Rapat Konsultasi pengganti Bamus DPR Rl antara Pimpinan DPR dan Pimpinan Fraksi-fraksi pada tanggal 18 Januari 2017 acara Rapat Paripurna hari ini adalah: 1 .","Other"
"129","Rapat pendapat fraksi-fraksi terhadap Rancangan Undang-Undang usul inisiatif Anggota DPR Rl tentang perubahan ke-2 atas Undang-Undang Nomor 17 Tahun 2014 tentang MPR, DPR, DPD dan DPRD menjadi RUU Usui DPR Rl dilanjutkan dengan pengambilan keputusan, 2 .","Other"
"130","Pendapat fraksi-fraksi terhadap Rancangan Undang-Undang Usui Inisiatif Anggota DPR Rl tentang perubahan atas Undang-Undang Nomor 5 Tahun 2014 tentang aparatur sipil negara menjadi RUU Usui Inisiatif DPR Rl dilanjutkan dengan pengambilan keputusan, 3 .","Other"
"131","Penetapan kembali tim-tim sebagaimana berikut: a .","Statement"
"132","Tim Pengawas DPR Rl terhadap perlindungan tenaga kerja Indonesia, b .","Other"
"133","Tim Implementasi Reformasi DPR Rl, c .","Statement"
"134","Tim Pemantau DPR Rl terhadap pelaksanaan Undang-Undang Nomor 11 Tahun 2016 tentang Pemerintahan Aceh dan pelaksanaan Undang-Undang Nomor 21 Tahun 2001 tentang otonomi khusus bagi Provinsi Papua serta pelaksanaan Undagn-Undang Nomor 13 Tahun 2012 tentang keistimewaan Daerah Istimewa Yogyakarta, d .","Statement"
"135","Tim Pemantau dan Evaluasi usulan program pembangunan daerah pemilihan atau sering disebut UP2DP, e .","Other"
"136","Tim Penguat Diplomasi DPR Rl sebagaimana yang disebut oleh Ibu Nurhayati tadi, f .","Other"
"137","Tim Pengawas DPR Rl tentang pembangunan wilayah perbatasan .","Statement"
"138","Pengesahan perpanjangan waktu pembahasan Rancangan Undang-Undang tentang sistemperbukuan dan Rancangan Undang-Undang tentang kebudayaan .","Other"
"139","Sekarang kami akan menanyakan kepada Sidang Dewan yang terhormat, apakah acara rapat tersebut dapat disetujui?","Statement"
"140","Ibu Amelia disini tertulis .","Other"
"141","Salah tempat duduk .","Other"
"142","Siapa yang bicara?","Other"
"143","F - P NASDEM (H SYARIF ABDULLAH ALKADRIE, SH, MH): Syarif Abdullah .","Other"
"144","Nomor Anggota: 29 KETUA RAPAT:Kami persilakan Pak Syarif .","Other"
"145","F - P NASDEM (H SYARIF ABDULLAH ALKADRIE, SH, MH):Ada satu yang masih menjadi koreksi bagi kami berkaitan dengan Tim OP2DP berkaitan dengan program aspirasi .","Statement"
"146","Karena beberapa waktu yang lalu juga sudah kita lakukan ini tetapi ada penolakan daripada Pemerintah karena tidak ada cantolan .","Other"
"147","Maka untuk itu Fraksi Nasdem memintakan ini supaya berkoordinasi dulu kepada Pemerintah sehingga setelah itu baru menjadi bisa, apakah Pemerintah menyetujui atau tidak .","Other"
"148","Sebaiknya kami Fraksi Nasdem memintakan itu untuk ditunda terlebih dahulu .","Other"
"149","Terima kasih .","Other"
"150","Assalamu'alaikum Warahmatullahi Wabarakaatuh .","Other"
"151","KETUA RAPAT:Baik .","Other"
"152","Pak Syarif saya kira memang maksud daripada pembentukan tim juga agar ada mekanisme koordinasi dengan Pemerintahan supaya ini kita bahas secara rasional .","Statement"
"153","Ini bukan diam-diam, bukan cari alasan tapi ilmiah, logis karena semua ada kajiannya, ada risetnya, ada hasil-hasil penelitian yang juga bagus untuk dipertimbangkan oleh Pemerintah bahwa sistem pembiayaan Dapil kita perlu perbaiki juga .","Other"
"154","Karena apa pun ini adalah bagian dari aspirasi daripada masyarakat kita .","Other"
"155","Saya kira kita biarkan satu paket .","Opinion"
"156","Nanti kita akan memutuskan, apakah kita menyetujui atau tidak .","Other"
"157","Apakah dapat disetujui?(RAPAT: SETUJU)Sidang Dewan yang kami hormati,Sebelum memulai acara .","Other"
"158","Perlu kami beritahukan bahwa Pimpinan telah menerima 4 pucuk surat yaitu,1 .","Other"
"159","Surat dari Presiden Republik Indonesia Nomor; R70/Pres/12/2016, tertanggal 19 Desember 2016 perihal penyampaian nama-nama calon Anggota Badan Supervisi Bank Indonesia atau BSDI,2 .","Other"
"160","Surat dari Presiden Republik Indonesia Nomor: R04/Pres/01/2017, tertanggal 18 Januari 2017 perihal permohonan pertimbangan kewarganegaraan Republik Indonesia atas nama Saudara Ezra Harm Ruud Walian,3 .","Other"
"161","Surat dari Presiden Republik Indonesia Nomor: R05/Pres/01/2017, tanggal 19 Januari 2017 perihal permohonan pertimbangan kewarganegaraan Indonesia atas nama Saudara Glenn Arthur Walian,4 .","Other"
"162","Surat dari Pimpinan Dewan Perwakilan Daerah Republik Indonesia Nomor: HM0310/XVI/DPD-RI/2017, tertanggal 13 Januari 2017 tentang penyampaian Daftar Inventarisasi Masalah atau DIM RUU tentang penyelenggaraan Pemilu .","Statement"
"163","32Untuk surat-surat tersebut sesuai dengan Peraturan DPR Rl Nomor 01 Tahun 2014 tentang Tata Tertib akan dibahas lebih lanjut sesuai dengan mekanisme yang berlaku .","Other"
"164","Sidang Dewan yang kami hormati,Marilah kita memasuki acara pertama, Rapat Paripurna Dewan hari ini yaitu pendapat Fraksi-fraksi terhadap RUU Usui Inisiatif Anggota DPR Rl tentang perubahan ke-2 atas Undang-Undang Nomor 17 Tahun 2014 tentang MPR, DPR, DPD, DPRD menjadi RUU Usui DPR Rl dilanjutkan dengan pengambilan keputusan .","Other"
"165","Oleh karena itu untuk keperluan tersebut .","Suggestion"
"166","Sekretariat Jenderal DPR Rl telah menyampaikan daftar nama-nama juru bicara masing-masing fraksi yang akan menyampaikan pandangan fraksinya dengan urutan bergiliran sebagai berikut:1 .","Suggestion"
"167","Yang terhormat Saudara Khatibul Umam Wiranu, M. Hum .","Other"
"168","Nomor A 426 sebagai juru bicara Fraksi Partai Demokrat,2 .","Other"
"169","Saudara Haerudin, S. Ag .","Other"
"170",", MH, A-477 juru bicara dari Fraksi Amanat Nasional,3 .","Other"
"171","Yang terhormat Saudara Neng Eem Marhamah Zulfa Hiz, S. Th. l Anggota Nomor A-045 sebagai juru bicara dari Fraksi Kebangkitan Bangsa,4 .","Request"
"172","Yang keempat Saudara DR. Hermanto, SE .","Request"
"173",", MM Nomor A-088 sebagai juru bicara Fraksi Partai Keadian Sejahtera,5 .","Other"
"174","Yang terhormat Saudara Ach .","Other"
"175","Baidowi, S. Sos Anggota Nomor A-532 sebagai juru bicara dari Fraksi Partai Persatuan Pembangunan,6 .","Other"
"176","Yang terhormat Saudara Sulaiman L. Hamzah Nomor A-036 sebagai juru bicara Fraksi Partai Nasdem,7 .","Suggestion"
"177","Yang terhormat Saudara Frans Agung Mula Putra, S. Sos .","Suggestion"
"178","MH Anggota A-549 sebagai juru bicara Fraksi Partai Hanura,8 .","Other"
"179","Yang terhormat Saudara Abidin Fikri, S. H. Nomor A-202 sebagai juru bicara Fraksi PDI-Perjuangan,9 .","Other"
"180","Yang terhormat Saudara DR. H. Noor Achmad, M. A. Anggota A-271 sebagai juru bicara Fraksi Partai Golkar,10 .","Opinion"
"181","Yang terhormat Saudara Martin Hutabarat, S. H. Nomor A-239 sebagai juru bicara dari Fraksi Partai Gerindra .","Statement"
"182","Sebelum kami mempersilakan juru bicara masing-masing .","Other"
"183","Kami meminta persetujuan Rapat Paripurna Dewan mengenai waktu yang akan dipergunakan oleh masing-masing juru bicara adalah 5 menit atau menyingkat waktu jika disepakati pandangan umum fraksi-fraksi tersebut akan disampaikan secara tertulis kepada Pimpinan Dewan .","Statement"
"184","Apakah hal ini dapat disetujui?(RAPAT; SETUJU)Terima kasih .","Other"
"185","33Untuk itu kami persilakan kepada masing-masing juru bicara yang telah kami sebutkan untuk maju kedepan menyampaikan pandangan umum fraksinya terhadap kedua RUU dimaksud secara langsung kepada Pimpinan .","Suggestion"
"186","Kami persilakan .","Other"
"187","Dari yang Nomor 1 Pak Khatibul Umam, Pak Haerudin, Ibu Neng Eem, Pak Hermanto, Pak Ahmad Baidowi, Pak Sulaiman, Bapak Frans Agung Mula Putra, Bapak Abidin Fikri, Bapak Noor Ahmad dan Bapak Martin Hutabarat .","Other"
"188","Kami persilakan .","Other"
"189","(mengantarkan pandangan 10 Fraksi)Baik .","Other"
"190","Sidang Dewan yang terhormat,Dengan telah selesai mengantarkan pandangan ke 10 Fraksi masing-masing .","Request"
"191","Kini tiba saatnya saya menyatakan kepada Sidang Dewan yang terhormat, apakah Rancangan Undang-Undang Usui Inisiatif Anggota DPR Rl tentang perubahan ke-2 atas Undang-Undang Nomor 17 Tahun 2014 tentang MPR, DPR, DPD dan DPRD dapat disetujui menjadi Rancangan Undang-Undang Usui DPR Rl?F-PKB ():Pimpinan, interupsi sebentar .","Other"
"192","KETUA RAPAT:Di ketok dulu atau interupsi dulu ini?F-PKB ():Interupsi dulu sebentar .","Other"
"193","KETUA RAPAT:Silakan .","Other"
"194","F-PKB ():Terima kasih .","Other"
"195","Pimpinan yang saya hormati dan saya banggakan,PKB termasuk juga yang menyetujui terkait perubahan ke-2 Undang-undang Nomor 17 Tahun 2014 terkait MPR, DPR, dan DPD .","Opinion"
"196","Tetapi perlu kita sampaikan bahwa pandangan fraksi setiap  .","Opinion"
"197","ada catatan-catatannya .","Other"
"198","Dan kami dari PKB juga memberikan catatan .","Other"
"199","Dan catatannya diantaranya adalah kita juga harus34memperhatikan yurisprudensi dari Pimpinan kolektif kolegial .","Other"
"200","Dan biasanya Pimpinan kolektif kolegial itu biasanya adalah ganjil, tidak genap .","Other"
"201","Itu penting untuk juga diperhatikan karena tentu kita sebagai parlemen kita semua adalah kolektif kolegial disini .","Other"
"202","Tidak bisa hanya keputusan itu berdasarkan satu orang atau hanya satu golongan saja .","Opinion"
"203","Tapi ini adalah milik bersama .","Opinion"
"204","Mungkin itu saja .","Other"
"205","Terima kasih .","Other"
"206","KETUA RAPAT:Terima kasih Ibu .","Other"
"207","Nanti akan menjadi pembahasan di Badan Legislasi saya kira .","Suggestion"
"208","Jadi kita setujui?(RAPAT: SETUJU)Sidang Dewan yang kami hormati,Marilah kita memasuki acara kedua Rapat Paripurna hari ini yaitu pendapat Fraksi-fraksi terhadap Rancangan Undang-Undang Usui Insiatif Anggota DPR Rl tentang perubahan atas Undang-Undang Nomor 5 Tahun 2014 tentang Aparatur Sipil Negara menjadi Rancangan Undang-Undang Usui DPR Rl dilanjutkan dengan pengambilan keputusan .","Other"
"209","Oleh karena itu untuk keperluan tersebut .","Other"
"210","Sekretariat Jenderal DPR Rl telah menyampaikan daftar nama-nama juru bicara masing-masing Fraksi yang akan menyampaikan pandangan fraksinya dengan urutan secara bergiliran sebagai berikut:1 .","Other"
"211","Ir. Endro Hermono, M. B. A. A-369, juru bicara Fraksi Partai Gerindra,2 .","Other"
"212","Yang terhormat Saudara Khatibul Umam Wiranu, M. Hum, Nomor A 426 sebagai juru bicara Fraksi Partai Demokrat,3 .","Other"
"213","Saudari Ammy Amalia Fatma Surya, S. H. , M. Kn .","Other"
"214","A-483 sebagai juru bicara Fraksi Partai Amanat Nasional,4 .","Other"
"215","Saudara yang terhormat Yanuar Prihatin, M. Si .","Other"
"216","Anggota A-049 juru bicara Fraksi Partai Kebangkitan Bangsa,5 .","Other"
"217","Saudara Drs. H. Adang Daradjatun Nomor A-097 juru bicara Fraksi Partai Keadilan Sejahtera,6 .","Other"
"218","Yang terhormat H. M. Aditya Mufti Ariffin, S. H. , M. H. A-539 juru bicara Fraksi Partai Persatuan Pembangunan,7 .","Other"
"219","Yang terhormat Prof. DR. Bachtiar Aly, M. A. , A-01 sebagai juru bicara Fraksi Partai Nasdem,8 .","Other"
"220","Saudara yang terhormat H. Dadang Rusdiana, S. E. , M. Si .","Opinion"
"221","A-511 juru bicara Fraksi Partai Hanura,9 .","Other"
"222","Yang terhormat Saudara Rieke Diah Pitaloka, A-160 sebagai juru bicara Fraksi Partai PDI-Perjuangan,10 .","Other"
"223","Yang terhormat Saudara Dr. Ir. Hetifah Sjaifudian, M. P. P. Nomor A-308 sebagai juru bicara Fraksi Partai Golkar .","Other"
"224","35Atau untuk menyingkat waktu sebagaimana tadi didalam Undang-Undang MD3 .","Suggestion"
"225","Untuk menyingkat waktu kami minta kesepakatan, apakah pandangan fraksi-fraksi tersebut akan disampaikan secara tertulis ke meja Pimpinan Dewan?","Other"
"226","Apa bisa disetujui?(RAPAT: SETUJU)Baik .","Other"
"227","Untuk itu kami persilakan kepada masing-masing juru bicara yang tadi telah kami sebutkan namanya satu per satu untuk maju kedepan dan menyampaikan RUU pandangan fraksi-fraksi .","Other"
"228","Kami persilakan .","Other"
"229","Saya ulangi lagi, Ir. Endro Hermono, Saudara Khatibul Umam Wiranu, Ammy Amalia Fatma Surya, yang terhormat Yanuar Prihatin, yang terhormat Adang Daradjatun, yang terhormat M. Aditya Mufti Ariffin, yang terhormat Prof. Bachtiar Aly, yang terhormat Dadang Rusdiana, yang terhormat Rieke Diah Pitaloka dan Dr. Hetifah, M. P. P. Kami persilakan .","Other"
"230","Sidang Dewan yang terhormat,Dengan telah selesai juru bicara terakhir menyampaikan .","Other"
"231","Sebentar, saya tutup ini dulu mungkin ada catatan .","Statement"
"232","F-NASDEM (DRS AKBAR FAIZAL, MSi):Ingin berbicara Pimpinan .","Other"
"233","KETUA RAPAT:Baik .","Other"
"234","Silakan .","Other"
"235","F-NASDEM (DRS AKBAR FAIZAL, MSi):Terima kasih Pimpinan .","Suggestion"
"236","Akbar Faizal dari Fraksi Nasdem .","Other"
"237","KETUA RAPAT:Ini tulisannya Saduddin .","Request"
"238","Ini berarti duduk di Fraksi PKS itu .","Other"
"239","F-NASDEM (DRS AKBAR FAIZAL, MSi):Saya kebetulan meminjam tempat Pimpinan .","Other"
"240","Mohon maaf Pak .","Other"
"241","36KETUA RAPAT:Oh ya .","Other"
"242","Silakan Pak .","Other"
"243","F-NASDEM (DRS AKBAR FAIZAL, MSi):560 orang Anggota DPR disini setiap turun ke lapangan selalu mendapatkan pertanyaan dari K-2 yang sebagian berada di atas .","Other"
"244","Saya termasuk yang sejak pada periode pertama selalu mendapatkan pertanyaan seperti itu .","Request"
"245","Dan saya setuju mereka diangkat menjadi pegawai .","Statement"
"246","Ini adalah dampak dari prilaku hampir saya katakan, saya gunakan banyak saja .","Request"
"247","Banyak calon Kepala Daerah dulu yang membohongi mereka dan kemudian direkruti calon PNS dan kemudian dijanjikan dan inilah dampaknya .","Request"
"248","Tapi ada hal yang harus saya sampaikan ditempat ini .","Request"
"249","Tapi tolong dicatat pula bahwa saya sudah menyatakan tadi bahwa saya setuju negara bertanggungjawab terhadap nasib mereka .","Suggestion"
"250","Cuma ada hal yang harus saya sampaikan ditempat ini Pimpinan .","Statement"
