"ID","Kalimat","Kelas"
"51","Perkiraan laju inflasi yang relatif terkendali, perluasan cakupan program kesejahteraan sosial, pelaksanaan Pilkada serentak yang masih berlangsung di Tahun 2016, serta struktur demografi yang didominasi oleh kelompok penduduk usia produktif diharapkan menjadi faktor pendorong masih kuatnya pertumbuhan konsumsi rumah tangga yang mencakup sekitar 55% dalam pembentukan produk domestik bruto .","Statement"
"52","Selanjutnya, penguatan kinerja investasi domestik juga diharapkan akan menjadi penopang kinerja pertumbuhan di Tahun 2016 .","Statement"
"53","Penguatan tersebut terutama terkait dengan peningkatan secara signifikan program pembangunan infrastruktur (energi, transportasi, pelabuhan) baik melalui peningkatan belanja modal maupun penyertaan modal negara pada BUMN .","Request"
"54","Selain itu, ada upaya-upaya perbaikan iklim berusaha serta investasi dalam negeri, serta penguatan peran swasta melalui skema kerja sama pemerintah dan swasta (public private partnership) .","Statement"
"55","Selain itu, perlu pula diperhatikan bahwa di Tahun 2015 melalui realisasi APBNP 2015 kita telah meletakkan dasar pembangunan yang baik dengan telah mulai dibangunnya berbagai proyek infrastruktur yang dampaknya akan dapat dirasakan mulai Tahun 2016 .","Statement"
"56","Pimpinan dan segenap Anggota Dewan yang kami hormati,26Selanjutnya menanggapi pandangan dari Fraksi PDI-P, Fraksi Gerindra, Fraksi PAN, Fraksi PKB, Fraksi PPP, Fraksi Nasdem, dan Fraksi Hanura terkait dengan asumsi nilai tukar dapat kami sampaikan sebagai berikut .","Other"
"57","Pemerintah sependapat dengan pandangan Fraksi-fraksi bahwa volatilitas nilai tukar rupiah sangat penting untuk dijaga pada level aman, mengingat kestabilan nilai tukar rupiah berkontribusi besar pada stabilitas perekonomian nasional .","Other"
"58","Pemerintah terus melakukan koordinasi dengan Bank Indonesia dan otoritas terkait dalam upaya menjaga stabilitas nilai tukar rupiah melalui serangkaian kebijakan yang ditujukan untuk:(1) memperbaiki defisit neraca transaksi berjalan, (2) memperbaiki struktur mikro pasar valuta asing nasional, (3) melakukan pemantauan dinamika ekonomi serta meningkatkan sinergi dan koordinasi dalam menjaga stabilitas sistem keuangan, serta (4) menyiapkan langkah-langkah antisipasi dan mitigasi berbagai resiko yang mungkin terjadi .","Other"
"59","Pimpinan dan Anggota Dewan yang terhormat,Menanggapi pandangan dari Fraksi PDI-P, Fraksi Partai Golkar, Fraksi PAN, Fraksi PKB, Fraksi PKS, Fraksi PPP dan Fraksi Hanura .","Other"
"60","terkait dengan perkiraan asumsi inflasi sebesar 4 1% serta permasalahan inflasi dan potensi tekanan kenaikan inflasi dapat kami jelaskan sebagai berikut .","Other"
"61","Pemerintah sependapat dengan pandangan para Anggota DPR Rl bahwa upaya menjaga agar inflasi berada pada level yang rendah dan stabil memerlukan dukungan keselarasan kebijakan fiskal, moneter dan sektor riel .","Opinion"
"62","Hal ini penting karena peran inflasi sangat vital untuk menjaga tingkat pertumbuhan konsumsi rumah tangga yang merupakan komponen terbesar dari produk domestik bruto serta upaya pemerintah dalam pengentasan kemiskinan .","Statement"
"63","Di samping itu, dalam jangka panjang laju inflasi nasional yang rendah dan stabil dapat mendorong perekonomian nasional untuk dapat lebih kompetitif dengan negara-negara di kawasan .","Other"
"64","Terkait dengan perubahan kebijakan subsidi bahan bakar minyak, pemerintah juga terus menyelaraskan dengan upaya pengendalian inflasi nasional, sehingga ke depan perkembangan inflasi tidak bersifat terlalu sensitif terhadap perubahan harga BBM .","Other"
"65","Upaya penyelarasan tersebut antara lain dilakukan melalui:Pimpinan dan segenap Anggota Dewan yang terhormat,27(1) peningkatan alokasi anggaran dalam rangka meningkatan ketahanan pangan dan energi nasionai, menjaga stabilitas harga, serta mendukung kelancaran arus distribusi bahan kebutuhan pokok dan barang strategis,(2) peningkatan produksi dan produktifitas bahan pangan nasionai, serta,(3) pengendalian volatilitas nilai tukar rupiah .","Other"
"66","Pemerintah juga sependapat dengan pandangan Dewan mengenai peran penting sinergi kebijakan fiskal, moneter dan sektor riel, diantaranya melalui penguatan peran pengendalian inflasi baik ditingkat pusat maupun di daerah dalam bentuk Tim Pengendalian Inflasi serta Kelompok Kerja Nasionai Pengendalian Inflasi Daerah, sehingga laju inflasi nasionai dapat lebih terjaga .","Other"
"67","Pimpinan dan Anggoata Dewan yang terhormat,Menanggapi pandangan Fraksi PDI-P, Fraksi Gerindra dan Fraksi PKS, mengenai perlunya meningkatkan kepatuhan pajak .","Other"
"68","Dapat kami sampaikan bahwa pemerintah sependapat dengan masukan Anggota Dewan untuk senantiasa berupaya meningkatkan kepatuhan wajib pajak melalui berbagai upaya sebagai berikut: (1) melakukan penyempurnaan sistem administrasi perpajakan melalui implementasi penggunaan faktur pajak elektronik (e-invoice) dalam administrasi PPn dan penyampaian SPT PPH melalui e-filing .","Opinion"
"69","(2) melakukan ekstensifikasi terhadap wajib pajak orang pribadi menggunakan basis data kependudukan dengan memperhatikan sektor ekonomi dan perkembangan wilayah, mohon maaf .","Other"
"70","Pimpinan dan Anggota Dewan yang terhormat,Menanggapi pandangan Fraksi Gerindra terkait masih banyaknya sumber- sumber pendapatan negara khususnya PNBP yang potensial untuk digali, dapat kami sampaikan bahwa salah satu upaya yang ditempuh pemerintah dilakukan dengan peningkatan pengawasan yang ditujukan untuk memberantas kegiatan ilegal di bidang perikanan, pertambangan dan penebangan hutan .","Statement"
"71","Melalui kegiatan tersebut diharapkan dapat mengoptimalkan penerimaan negara dan sekaligus menjaga sustainability sumber daya alam .","Statement"
"72","28Menanggapi pandangan Fraksi Partai Golkar, Gerindra, Fraksi Partai Demokrat, Fraksi PKS, Fraksi Nasdem dan Fraksi Hanura mengenai perlunya restrukturisasi komposisi belanja dengan mengedepankan fungsi stimulus dengan meningkatkan anggaran belanja modal, bantuan sosial dan alokasi untuk infrastruktur dapat dijelaskan sebagai berikut .","Statement"
"73","Dalam beberapa tahun terakhir, pemerintah telah berupaya mendorong agar struktur belanja menjadi lebih produktif .","Statement"
"74","Hal tersebut dilakukan dengan meningkatkan belanja yang mempunyai dampak multiplier yang kuat terhadap pertumbuhan ekonomi yang berkelanjutan dan peningkatan derajat kesejahteraan bagi masyarakat .","Other"
"75","Selama ini kebijakan yang ditempuh pemerintah senantiasa menjaga keseimbangan antara upaya untuk menstimulasi pertumbuhan ekonomi dengan upaya untuk menjaga stabilisasi makro ekonomi .","Other"
"76","Pimpinan dan Anggota Dewan yang terhormat,Menanggapi pandangan dari Fraksi Gerindra terkait program pemerintah untuk mengefisienkan subsidi BBM guna mendukung pemenuhan infrastruktur dapat kami jelaskan sebagai berikut .","Statement"
"77","Sejak awal tahun 2015, pemerintah telah melakukan upaya penghematan anggaran belanja subsidi dengan menerapkan subsidi tetap untuk minyak solar .","Statement"
"78","Penerapan kebijakan tersebut telah berdampak sangat signifikan bagi penurunan anggaran subsidi BBM dalam APBNP Tahun 2015 .","Other"
"79","Selanjutnya hasil penghematan tersebut direalokasikan untuk mendukung belanja produktif antara lain untuk pembangunan infrastruktur, perlindungan sosial, transfer ke daerah dan pengurangan defisit .","Statement"
"80","Di Tahun 2016, pemerintah akan terus berupaya meningkatkan ketepatan sasaran dari penyaluran berbagai subsidi kepada kelompok masyarakat yang membutuhkan .","Suggestion"
"81","Pemerintah menilai reformasi penganggar reformasi tersebut merupakan salah satu upaya pemerintah menuju APBN yang lebih sehat, adil dan berkesinambungan .","Statement"
"82","Pimpinan dan Anggota Dewan yang terhormat,29Menanggapi pandangan dari Fraksi PKB, Fraksi PKS, Fraksi Nasdem dan Fraksi Hanura terkait dana desa, pemerintah sependapat mengenai perlunya meningkatkan alokasi dana desa secara lebih signifikan .","Opinion"
"83","Untuk mempercepat pemenuhan kewajiban pengalokasian dana desa sesuai amanat Undang-undang Nomor 6 Tahun 2014, pemerintah telah menetapkan peta jalan pemenuhan alokasi dana desa yang dituangkan dalam Peraturan Pemerintah Nomor 22 Tahun 2015 yaitu mencapai 10% pada Tahun 2017 secara bertahap dari dan di luar dana transfer ke daerah,Sementara itu, terkait dengan percepatan pencairan dana desa, pemerintah telah memajukan penyaluran dana desa tahap III dari yang semula dilaksanakan November menjadi bulan Oktober .","Statement"
"84","Untuk penyaluran dana desa tahap I dilaksanakan paling lambat minggu kedua bulan April dengan syarat kabupaten/kota telah menyampaikan Perda APBD dan peraturan bupati/walikota mengenai pembagian dana desa kepada setiap desa .","Statement"
"85","Penyaluran dana desa tahap I 2015 sampai dengan saat ini telah dilakukan kepada 352 kabupaten/kota dengan nilai sebesar Rp .","Suggestion"
"86","6,68 triliun .","Other"
"87","Upaya akselerasi penyaluran dana desa dilakukan pemerintah dengan mendorong pemerintah kabupaten/kota untuk segera menerbitkan peraturan bupati/walikota mengenai tata cara pembagian dan penetapan dana desa di setiap desa .","Other"
"88","Pimpinan dan Anggota Dewan yang terhormat,Menanggapi pandangan Fraksi PDIP dan Fraksi PKB terkait perlunya melakukan penerbitan Surat Berharga Negara secara terencana dan tetap memperhatikan prinsip kehati-hatian terhadap kondisi internal dan eksternal perekonomian nasional, pemerintah sependapat bahwa arah kebijakan yang ditempuh dalam penerbitan SBN merupakan upaya untuk mendukung pemenuhan pembiayaan dan menopang kebutuhan prioritas dengan tetap mempertimbangkan biaya yang efisien, resiko terkendali serta mendukung perkembangan pasar surat berharga negara domestik .","Other"
"89","Secara umum dapat kami sampaikan bahwa selama ini pengelolaan utang termasuk SBN telah dilakukan dengan baik .","Statement"
"90","Hal tersebut dapat terefleksi pada beberapa indikator .","Statement"
"91","Pertama, porsi utang dalam valuta asing cenderung terkendali .","Statement"
"92","Kedua, rasio utang terhadap PDB masih terjaga pada batas aman .","Statement"
"93","Ketiga, porsi utang dengan tingkatPimpinan dan Anggota Dewan yang terhormat,30bunga mengambang relatif rendah dan keempat, profil utang jatuh tempo terdistribusi secara merata .","Statement"
"94","Sebagai upaya untuk memitigasi resiko, pemerintah secara intensif melakukan pendalaman pasar SBN agar kepemilikan investor domestik semakin meningkat serta mengembangkan bond stabilitation framework untuk penanganan krisis atau potensi terjadinya sudden reversal atau pembalikan di pasar SBN domestik,Pimpinan dan Anggota Dewan yang terhormat,Demikianlah ringkasan jawaban dan tanggapan pemerintah terhadap Pandangan Umum Dewan Perwakilan Rakyat atas Kerangka Ekonomi Makro dan Pokok-pokok Kebijakan Fiskal dalam rangka Pembicaraan Pendahuluan RAPBN Tahun Anggaran 2016 .","Suggestion"
"95","Tanggapan atas pemandangan umum DPR yang lebih lengkap kami sampaikan secara tertulis sebagai bagian yang tidak terpisahkan dari jawaban yang telah kami sampaikan ini .","Suggestion"
"96","Sebagai penutup, sekali lagi atas nama pemerintah, kami menyampaikan terima kasih sebesar-besarnya atas dukungan dan kerjasama segenap Anggota Dewan selama ini dalam menyelesaikan agenda-agenda konstitusional yang merupakan amanat mulia dari seluruh rakyat Indonesia .","Suggestion"
"97","Akhir kata, semoga pembahasan Pembicaraan Pendahuluan RAPBN Tahun Anggaran 2016 dapat berjalan lancar sehingga dapat diselesaikan secara tepat waktu sesuai dengan jadwal yang telah ditetapkan .","Request"
"98","Sekian dan terima kasih .","Statement"
"99","Assalamu'alaikum warahmatullahi wabarakatuh .","Other"
"100","KETUA RAPAT:Baik, terima kasih disampaikan kepada Saudara Menteri Keuangan Republik Indonesia yang telah menyampaikan tanggapan pemerintah terhadap pandangan fraksi- fraksi mengenai Pokok-pokok Pembicaraan Pendahuluan Penyusunan RAPBN Tahun Anggaran 2016 sesuai dengan mekanisme yang berlaku dan sesuai dengan Tata Tertib serta Undang-undang MD3 .","Other"
"101","Pokok-pokok Pembicaraan Pendahuluan RAPBN Tahun31Anggaran 2016 tersebut akan dibahas di Badan Anggaran sesuai dengan Peraturan DPR Rl tentang TataTertib .","Other"
"102","Sidang Dewan yang terhormat,Terima kasih atas kehadirannya .","Other"
"103","Wassalamu'alaikum warahmatullahiwabarakatuh .","Other"
"104","(RAPAT DITUTUP PUKUL 11 .","Other"
"105","33 WIB)  .","Other"
